Package,Function Name,Complexity,Location
msp,(*MspController).deploySMSP,64,smsp_deployment.go
msp,(*MspController).DestroyCluster,50,msp_controller.go
msp,(*MspController).reconcileRegistry,45,msp_registry.go
msp,(*MspConvertHATaskHandler).Run,43,cluster_convert_ha_task.go
msp,HandleControllerUpgrade,41,msp_controller_upgrade.go
msp,(*MspController).ScaleoutEtcd,40,msp_etcd.go
msp,(*MspController).ScaleoutMaster,37,msp_master.go
msp,(*MspConfig).FixupCMSPResourceSpec,36,cmsp_config.go
msp,(*MspEntity).ReconfigureIOEndpoints,33,ip_reconfig.go
msp,(*DeploymentProfile).Init,31,deployment_profile.go
msp,(*MspController).ScaleoutMspDNS,30,msp_dns.go
msp,ReplaceSvcCertificates,29,replace_service_certs.go
msp,(*MspConfig).RunPredeployChecks,29,msp_deploy_prechecks.go
msp,Init,29,msp.go
msp,(*MspConfig).LayoutStorageClassConfigV2,28,parse_msp_specs.go
msp,(*MspEntity).DVPIPReconfigure,28,ip_reconfig.go
msp,controllerSetup,26,msp_entity_helper.go
msp,(*MspController).deployStorageConfig,26,msp_controller.go
msp,(*MspConfig).populateEsxPlatformProvider,26,msp_config.go
msp,(*DeploymentProfile).getNodesForMasters,26,deployment_profile.go
msp,(*MspConfig).LayoutValuesNumWorkers,25,parse_msp_specs.go
msp,VerifyNameServerOnController,25,msp_dns.go
msp,(*MspController).fixupDNSEntries,25,msp_dns.go
msp,(*MspController).runStage,25,cmsp_deployment.go
msp,(*NodeWatcher).handleNodeAdded,24,node_reconciler.go
msp,(*MspController).addNetworkForMspDns,24,msp_dns.go
msp,(*MspController).OnMasterScaleout,23,msp_master.go
msp,(*MspController).updateRegistryOnControllerHost,23,msp_dns.go
msp,(*MspController).lockDownMSPCluster,23,msp_controller.go
msp,(*Msp).AutoPlatformUpgrade,23,msp.go
msp,(*ServiceMsp).Setup,22,service_msp.go
msp,(*MspConfig).LayoutValuesNumWorkersV2,22,parse_msp_specs.go
msp,(*DeploymentProfile).getNodesForWorkers,22,deployment_profile.go
msp,(*MspController).DeployOptimalNodePolicy,21,msp_policy.go
msp,(*MspController).setupEtcdCluster,21,msp_etcd.go
msp,(*MspConfig).IpSufficiencyCheck,21,msp_deploy_prechecks.go
msp,(*DeploymentProfile).addInterfaceToNode,21,deployment_profile.go
msp,(*MspController).MaybeUpgradeCmspRegistryImages,20,upgrade_cmsp_registry.go
msp,(*RotateRegistryCertTaskHandler).Run,20,rotate_registry_certs_task.go
msp,(*MspConfig).LayoutLoadBalancersConfig,20,parse_msp_specs.go
msp,(*MspVmCb).InitNodeCallback,20,deployment_profile.go
msp,ApplyFilterDnsmasqCoredns,20,common_msp.go
msp,(*PrimaryMsp).Setup,19,primary_msp.go
msp,AddCMSPUnManagedNodes,19,nodepool.go
msp,(*MspController).configureDockerRegistryOnNode,19,msp_registry.go
msp,(*MspController).deployMasters,19,msp_master.go
msp,(*MspController).HostUpgradeMsp,19,msp_host_upgrade.go
msp,(*Msp).GetMspClusterHealth,19,msp_health.go
msp,pcZkCallbackNtpServerUpdate,19,msp_etcd.go
msp,reconcileNodePoolsForMspContext,19,msp_entity_helper.go
msp,(*MspLbController).prepareForLBDeployment,19,lbctl.go
msp,deleteLBCWorkload,19,lb_upgrade_cb.go
msp,(*MspEntity).ReconfigurePCEndpoint,19,ip_reconfig.go
msp,(*DeploymentProfile).bootstrapMsp,19,deployment_profile.go
msp,(*Msp).AddLoadBalancerCfg,19,dc_lb.go
msp,(*MspController).UpdateCloudProvider,19,cloudprovider.go
msp,(*CertificateRotationParentTaskHandler).Run,19,certificate_rotation_parent_task.go
msp,(*MspConfig).LayoutWorkersConfig,18,parse_msp_specs.go
msp,(*MspConfig).LayoutStorageClassConfig,18,parse_msp_specs.go
msp,(*MspController).NodeSetup,18,msp_controller.go
msp,(*Msp).DiscoverService,18,msp_api_utils.go
msp,IsIpamConfigConflict,18,ipam.go
msp,(*DeploymentProfile).getNodesForEtcd,18,deployment_profile.go
msp,(*ClusterDeployTaskHandler).maybeRecoverFromRestart,18,cluster_deployment_parent_task.go
msp,(*ServiceMsp).AddCMspForwardingToCoreDNS,17,service_msp.go
msp,ReplaceCPCertificates,17,replace_cloud_provider_certs.go
msp,(*MspController).DeployMsp,17,msp_deployment.go
